"games","gold","silver","bronze"
"1896 Summer","Germany -75","Greece -54","Greece -60"
"1900 Summer","UK -177","France -303","France -246"
"1904 Summer","USA -384","USA -423","USA -375"
"1906 Summer","Greece -72","Greece -144","Greece -90"
"1908 Summer","UK -441","UK -393","UK -270"
"1912 Summer","Sweden -309","UK -192","UK -177"
"1920 Summer","USA -333","France -213","Belgium -198"
"1924 Summer","USA -291","France -153","USA -147"
"1924 Winter","UK -48","USA -30","UK -33"
"1928 Summer","USA -141","Netherlands -87","Germany -123"
"1928 Winter","Canada -36","Sweden -39","Switzerland -36"
"1932 Summer","USA -243","USA -141","USA -183"
"1932 Winter","Canada -42","USA -63","Germany -42"
"1936 Summer","Germany -279","Germany -210","Germany -183"
"1936 Winter","UK -36","Canada -39","USA -42"
"1948 Summer","USA -261","UK -126","USA -105"
"1948 Winter","Canada -39","Czech Republic -51","Switzerland -57"
"1952 Summer","USA -249","Russia -186","Hungary -96"
"1952 Winter","Canada -48","USA -75","Sweden -69"
"1956 Summer","Russia -204","Russia -138","Russia -165"
"1956 Winter","Russia -78","USA -57","Canada -54"
"1960 Summer","USA -243","Russia -189","Russia -135"
"1960 Winter","USA -57","Canada -51","Russia -84"
"1964 Summer","USA -285","Russia -189","Russia -153"
"1964 Winter","Russia -90","Sweden -63","Czech Republic -51"
"1968 Summer","USA -297","Russia -189","Russia -192"
"1968 Winter","Russia -78","Czech Republic -57","Canada -54"
"1972 Summer","Russia -321","Germany -249","Germany -288"
"1972 Winter","Russia -108","USA -54","Czech Republic -57"
"1976 Summer","Germany -369","Russia -285","Russia -231"
"1976 Winter","Russia -114","Czech Republic -57","Germany -111"
"1980 Summer","Russia -561","Russia -387","Russia -378"
"1980 Winter","USA -72","Russia -87","Sweden -60"
"1984 Summer","USA -558","USA -348","Germany -159"
"1984 Winter","Russia -87","Czech Republic -72","Sweden -63"
"1988 Summer","Russia -402","Germany -273","Russia -297"
"1988 Winter","Russia -120","Finland -66","Sweden -69"
"1992 Summer","Russia -276","Russia -183","USA -255"
"1992 Winter","Russia -105","Canada -84","Czech Republic -81"
"1994 Winter","Sweden -69","Canada -87","Finland -87"
"1996 Summer","USA -477","China -210","Australia -252"
"1998 Winter","USA -75","Russia -96","Finland -147"
"2000 Summer","USA -390","Australia -207","Germany -192"
"2002 Winter","Canada -156","USA -174","Russia -81"
"2004 Summer","USA -351","Australia -231","Russia -285"
"2006 Winter","Sweden -105","Finland -102","USA -96"
"2008 Summer","USA -381","USA -330","USA -240"
"2010 Winter","Canada -201","USA -189","Finland -138"
"2012 Summer","USA -435","USA -171","Australia -177"
"2014 Winter","Canada -177","Sweden -96","Finland -72"
"2016 Summer","USA -417","UK -165","USA -213"
